area,perimeter,aspect,circularity,extent,solidity,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,label
11416.5,437.94826459884644,1.0,0.7479924693651512,0.6968078612855952,0.9802936629761039,0.7650729863386805,2.390839354982338,5.528951828133255,5.972557643661759,5.999999999806452,5.999857147561249,-5.999999989877336,1
10999.5,434.776692032814,1.0,0.7312237693207149,0.6713562011308987,0.9731487214922455,0.7694598370235086,2.484662330657874,4.640587329815338,5.770063715562453,5.999998992605864,5.98512029807802,-5.999999376800998,1
12337.5,446.4924213886261,1.0,0.7776941753518957,0.7530212401884142,0.9721456149261567,0.7955141478551658,4.148683730301927,4.843210964995882,5.965334790611748,-5.999999969263,-5.999709534774157,-5.999999977649896,1
12026.0,447.07820785045624,0.984375,0.7560735771063168,0.7456597221759883,0.9710917311877348,0.7765431388722279,2.631555110648776,4.604541672436209,5.635924793255191,5.9999982828633085,5.98778571704035,5.999997312139907,1
11789.5,441.46298372745514,1.0,0.7601803903450174,0.7195739745654557,0.9801305232589158,0.7839324345260119,2.804646982912093,4.9056359107430625,5.932255425430673,5.999999900557317,5.997109485071488,5.999999978104174,1
11841.0,440.8771973848343,1.0078740157480315,0.7655313324048945,0.7284079723961363,0.9788781878246701,0.7820746195775845,2.7382589063868563,5.107315228956265,5.944248480864222,5.999999959338519,5.997899538470023,-5.9999999594043425,1
11639.5,437.46298348903656,0.984375,0.7642959665193015,0.7216951884473155,0.9758132125271786,0.7769580523708963,2.626758983785239,4.219600274493532,5.65532502116657,-5.999997085890165,-5.9830439434854625,5.99999662409004,1
11116.5,441.46298360824585,1.0,0.7167857257588726,0.6784973144117128,0.9668203164927099,0.7622828811699675,2.3965047850838475,4.622040618536958,5.888236700318033,5.999999679505925,5.99202994365206,-5.999999920253534,1
10251.0,437.36247849464417,0.984375,0.6734309211996374,0.6356026785320187,0.9554478515280597,0.7310475291136597,2.070685941661205,5.181269124286314,5.774993667288267,-5.999999690509814,-5.993277045164208,5.99999951638368,1
11989.0,443.5634891986847,1.0,0.7657398378993437,0.7317504882365875,0.9778158387588438,0.787054650068536,2.9197970056558313,5.1376066192735586,5.983275781737214,-5.999999992767968,-5.999638726818712,5.99999999559264,1
11775.5,446.977702498436,0.9921259842519685,0.7406576332636705,0.7358767653583379,0.9669088967469796,0.7730294302551208,2.641589075312708,3.7635792698214483,5.240221206969099,5.999997819964957,-5.965607630962115,-5.999941163654722,1
12580.5,447.32084834575653,1.0158730158730158,0.790077122178911,0.7800409225706819,0.9777717327184726,0.7928192393403901,3.389789683266243,4.835579732483649,5.996489705632029,5.999999999310609,5.999986864338017,5.999999999053416,1
12020.0,445.76449954509735,1.024,0.7601571321650665,0.7512499999530469,0.979186183782397,0.7867569832896892,2.91698764537537,4.994894756601848,5.940737910053189,5.999999935681583,5.997888269856193,5.999999964815728,1
11619.5,435.806129693985,1.032258064516129,0.7687951511327688,0.732075352776457,0.9814595826521277,0.7769319573769734,2.611397334313527,4.481174990214174,5.797785822830354,-5.9999990544587325,-5.98974827886106,-5.999999395494208,1
11738.0,440.048770070076,1.0,0.7617322556382375,0.7164306640187725,0.9780444110337837,0.7776327399591666,2.625017193873668,4.659339961712899,5.827983630410606,5.999999330956432,5.990104401038045,-5.999999928600898,1
10816.0,435.0193328857422,1.0,0.718223194933479,0.6601562499597072,0.9755569585121713,0.7630796055190238,2.374067049974138,5.037077321630716,5.867415092977539,-5.999999871988371,-5.995018632932678,-5.999999767976021,1
11517.0,443.5634890794754,1.0,0.7355931034971251,0.7029418944883458,0.9601100411854353,0.7749681362816975,2.601151380412626,5.117120602684378,5.840565329492459,-5.999999714716562,-5.992421607986053,5.999999833133844,1
11707.0,452.2497807741165,0.984375,0.7192812714644177,0.7258804563041988,0.9640151514357694,0.7864830590938804,3.0324826417476762,4.549997248456398,5.827517777579283,-5.999999933972807,-5.99497977660011,5.999999231896975,1
11732.5,447.66399443149567,0.984375,0.7356921056181277,0.727461557494577,0.9677885011162428,0.7704804798077325,2.4932719249179343,4.980260083611455,5.784572525634779,5.999999685288624,5.996030944818083,-5.999999388613397,1
11277.0,447.70562422275543,0.96875,0.7069982586498864,0.7104964717294294,0.9701479696343643,0.7735408750465513,2.5909153971930503,4.733428375013342,5.748938849676127,-5.999998747522303,-5.983235305355051,5.999999893991986,1
13598.0,488.71067690849304,1.0,0.7154532263016915,0.8299560546368435,0.9690361659740576,0.7922775892475448,3.6895124613239707,4.288698904674438,5.901211386488443,5.999999988922726,5.998426242919832,5.999999602000288,1
12020.5,520.835567355156,1.024,0.5568409023482042,0.7512812499530449,0.9317494767125223,0.7841950890749634,4.082389112470282,3.7747874314187433,5.311860357022845,5.999965728236434,-5.990655879070344,5.999974304266169,1
11464.5,433.8061298131943,1.032258064516129,0.7655500933585235,0.7223097277770723,0.9702522003241154,0.7749634417410967,2.585272069756517,4.917478195703855,5.881439358437481,-5.999999774308737,-5.995016165143647,-5.999999882648756,1
12430.0,447.22034311294556,1.0,0.780976366568384,0.7586669921411946,0.9793956584344328,0.7944615880085238,3.664244169343347,4.270329942055255,5.9209566482842595,5.999999754057571,5.998878166912565,-5.99999986390803,1
11987.0,458.1076455116272,1.0,0.7177699784330848,0.7316284179240949,0.9632367711870113,0.786753642947562,2.942158988842302,4.766724373200871,5.890308853186131,5.999999809945749,5.996248267446307,-5.999999810354562,1
12082.0,465.62236428260803,1.0158730158730158,0.7002950103457125,0.7491319443979952,0.9632464321961853,0.7889910363785353,3.035578888477378,4.819040507352917,5.934987522524427,-5.999999893940489,-5.997915254047997,-5.999999997820173,1
10939.0,430.0487701892853,1.008,0.743279348240907,0.6945396824955847,0.9667270557229705,0.7721636055648048,2.558978946797432,4.478881765755212,5.779973218278192,-5.999999626074323,5.999121675041441,5.9999987336366996,1
11676.5,440.97770261764526,0.9765625,0.7545521945376584,0.7297812499543886,0.9655985113942032,0.7932687615908663,3.5874967859257327,5.03944545120253,5.91828331893357,-5.999999884026487,-5.99880954594952,-5.999999987381574,1
11958.0,445.22034323215485,1.0,0.7580858891816669,0.729858398392953,0.9821765912950984,0.7723258535476538,2.5123896510852535,4.818979353519589,5.8848471274463945,-5.999999798236643,-5.9947649183114375,5.999999815319394,1
